ID,Place (x),Knowledge (y),Action (z),Country
4930,-0.125,-0.25,-0.1875,France
4931,-0.3125,0,0.3125,France
4932,0.125,-0.0625,0.4375,France
4936,-0.4375,-0.125,0.3125,France
4937,0.0625,-0.0625,0.125,France
4938,-0.125,0.3125,-0.0625,France
4939,0.1875,0,0.0625,France
4940,0.5625,0.25,-0.25,France
4941,-0.0625,0.3125,-0.3125,France
4942,-0.1875,0.0625,0.3125,France
4943,-0.3125,0.3125,0.125,France
4944,0.0625,-0.1875,0,France
4946,-0.25,0.125,-0.125,France
4947,-0.0625,0.375,0,France
4949,-0.0625,0.125,0.375,France
4950,-0.1875,0,-0.25,France
4951,0.25,0.1875,-0.4375,France
4954,0.3125,0,0,France
4955,-0.1875,0.0625,0.3125,France
4956,-0.0625,0.3125,0.0625,France
4957,0,-0.5,0.3125,France
4958,-0.125,0.0625,-0.125,France
4959,0.125,-0.125,-0.1875,France
4960,0,-0.1875,-0.0625,France
4961,-0.25,-0.0625,-0.125,USA
4963,-0.0625,-0.3125,-0.3125,France
4976,0.125,-0.125,0.0625,France
4977,0,0.0625,0,France
4979,0.0625,0,0.125,France
4980,-0.0625,-0.0625,-0.1875,France
4981,-0.0625,0,0.3125,France
4982,0,0,-0.125,France
4983,-0.125,-0.0625,0.3125,France
4985,-0.0625,0,-0.125,France
4990,-0.0625,0,-0.0625,France
4991,-0.125,-0.125,0.1875,France
4992,-0.125,0,0.1875,France
4993,-0.625,-0.5625,0,France
4994,-0.0625,-0.5625,0.75,USA
5001,-0.3125,-0.25,0.3125,France
5002,0,-0.5,0.125,France
5003,0.0625,0.125,0,France
5004,-0.25,0.0625,-0.1875,France
5005,0.25,0.4375,-0.125,France
5006,-0.3125,0.0625,0,France
5007,-0.0625,0.125,0,France
5008,0.0625,0.125,-0.3125,France
5009,0,0,0,France
5010,-0.1875,-0.0625,0.125,USA
5011,-0.125,-0.0625,-0.0625,France
5012,0.0625,0,0,France
5013,-0.1875,-0.1875,0.1875,USA
5014,-0.0625,0.125,-0.0625,France
5015,-0.1875,0,-0.0625,France
5016,-0.0625,-0.1875,-0.1875,France
5018,-0.0625,-0.0625,0.125,France
5019,-0.375,0.0625,-0.125,France
5020,0,0,0,France
5022,-0.125,-0.0625,-0.0625,France
5024,0.125,0,-0.25,France
5025,-0.125,0.125,-0.4375,France
5045,-0.25,0.125,-0.3125,France
5046,0.25,-0.125,0.125,France
5050,0.125,0.0625,-0.1875,France
5051,-0.0625,0.125,0.4375,France
5054,-0.1875,-0.25,0.25,France
5064,-0.125,-0.5625,-0.125,France
5065,0.1875,0,-0.3125,France
5067,-0.125,-0.25,-0.1875,France
5068,-0.3125,-0.0625,-0.4375,France
5073,-0.625,0.25,-0.3125,India
5075,-0.625,-0.25,-0.5625,USA
5076,-0.3125,-0.3125,0.1875,USA
5077,-0.625,-0.5,0.75,USA
5082,-0.8125,-1,-0.375,USA
5085,-0.4375,-0.3125,0.1875,USA
5086,0,0,-0.1875,USA
5088,0.1875,-0.5625,0.6875,USA
5090,-0.6875,0.375,0.625,USA
5093,0,0.1875,0.3125,USA
5094,0.125,0,0.8125,USA
5096,-0.375,0.125,-0.375,USA
5097,-0.3125,-0.0625,0.625,USA
5098,-0.625,-0.1875,0.375,USA
5099,-0.25,-0.125,0.125,USA
5105,-0.0625,-0.375,0.25,France
5106,-0.375,-0.4375,0.0625,France
5107,0,-0.4375,-0.25,India
5108,0,-0.4375,-0.25,India
5110,-0.1875,-0.125,0.125,France
5114,-0.1875,-0.125,0.1875,USA
5119,0,-0.125,-0.0625,France
5121,0.375,-0.3125,-0.4375,USA
